,Word,Freq
0,block,59.0
1,blue,43.0
2,pick,42.0
3,left,31.0
4,right,9.0
5,green,9.0
6,side,8.0
7,furthest,6.0
8,table,5.0
9,closest,5.0
10,farthest,4.0
11,next,4.0
12,far,4.0
13,purple,3.0
14,please,3.0
15,first,3.0
16,one,2.0
17,directly,2.0
18,looking,2.0
19,also,2.0
20,leftmost,2.0
21,front,2.0
22,grab,2.0
23,almost,1.0
24,yellow,1.0
25,4.33,22.71
