,Word,Freq
0,green,84.0
1,block,50.0
2,blocks,49.0
3,pick,38.0
4,middle,26.0
5,three,22.0
6,two,17.0
7,one,14.0
8,right,12.0
9,row,10.0
10,touching,10.0
11,center,10.0
12,3,8.0
13,left,8.0
14,side,7.0
15,yellow,6.0
16,another,6.0
17,look,5.0
18,directly,5.0
19,group,5.0
20,table,4.0
21,close,4.0
22,blue,4.0
23,front,4.0
24,choose,3.0
25,2.26,32.91
