,Word,Freq
0,block,53.0
1,blue,47.0
2,pick,39.0
3,right,32.0
4,yellow,13.0
5,farthest,10.0
6,furthest,10.0
7,side,8.0
8,next,7.0
9,left,7.0
10,one,5.0
11,rightmost,5.0
12,blocks,4.0
13,far,4.0
14,table,3.0
15,front,3.0
16,grab,3.0
17,directly,2.0
18,closer,2.0
19,cube,2.0
20,closest,2.0
21,neighbors,1.0
22,spaced,1.0
23,perspective,1.0
24,want,1.0
25,4.16,23.63
