,Word,Freq
0,block,41.0
1,blue,39.0
2,pick,33.0
3,right,21.0
4,closest,14.0
5,table,7.0
6,blocks,7.0
7,side,6.0
8,left,6.0
9,yellow,5.0
10,one,5.0
11,green,5.0
12,hand,4.0
13,grab,4.0
14,please,3.0
15,front,3.0
16,furthest,3.0
17,first,3.0
18,middle,2.0
19,find,2.0
20,want,2.0
21,rightmost,2.0
22,slide,2.0
23,reach,2.0
24,grouping,2.0
25,4.25,23.52
