,Word,Freq
0,block,84.0
1,yellow,76.0
2,pick,44.0
3,right,40.0
4,orange,23.0
5,blocks,22.0
6,closest,18.0
7,one,17.0
8,side,13.0
9,second,12.0
10,blue,10.0
11,third,9.0
12,left,9.0
13,behind,8.0
14,table,8.0
15,look,8.0
16,two,7.0
17,far,5.0
18,cube,4.0
19,another,4.0
20,next,4.0
21,middle,4.0
22,hand,4.0
23,furthest,4.0
24,ignore,3.0
25,1.93,31.4
