,Word,Freq
0,block,60.0
1,blue,53.0
2,pick,46.0
3,away,19.0
4,closest,17.0
5,furthest,17.0
6,farthest,15.0
7,right,10.0
8,one,7.0
9,yellow,6.0
10,directly,6.0
11,table,4.0
12,blocks,4.0
13,grab,4.0
14,left,4.0
15,two,3.0
16,front,3.0
17,find,2.0
18,would,2.0
19,purple,2.0
20,behind,2.0
21,want,2.0
22,cube,2.0
23,look,2.0
24,side,2.0
25,4.0,24.89
